product_name,price,rating,number_of_reviews,product_url
Men's Blue Baggy Wide Leg Jeans,1499,4.5,5 reviews,https://www.bewakoof.com/p/mens-blue-wide-leg-jeans-light-indigo
Men's Indigo Blue Mid-Rise Stretchable Jeans,999,4.5,N/A,https://www.bewakoof.com/p/mens-indigo-blue-jeans-blue
Men's Grey Mid-Rise Stretchable Jeans,999,4.5,N/A,https://www.bewakoof.com/p/mens-grey-jeans-grey
Men's Blue Mid-Rise Stretchable Jeans,999,4.4,N/A,https://www.bewakoof.com/p/mens-blue-jeans-blue-men-blue
Men's Black Straight Fit Jeans,1499,4.5,2 reviews,https://www.bewakoof.com/p/mens-black-straight-fit-jeans-men
Men's Indigo Blue Washed Jeans,1299,4.6,N/A,https://www.bewakoof.com/p/mens-indigo-blue-washed-jeans-indigo-14
Men's Blue Mid-Rise Stretchable Jeans,999,4.5,N/A,https://www.bewakoof.com/p/mens-blue-jeans-blue-denim
Men's Jet Black Mid-Rise Stretchable Jeans,999,4.5,1 reviews,https://www.bewakoof.com/p/mens-jet-black-jeans-black
Men's Blue Baggy Distressed Jeans,1499,4.5,3 reviews,https://www.bewakoof.com/p/mens-blue-jeans-men-blue-plain
Men's Black Baggy Straight Fit Carpenter Jeans,1699,4.5,2 reviews,https://www.bewakoof.com/p/mens-black-straight-fit-cargo-denim
Men's Indigo Blue Washed Straight Fit Cargo Jeans,1499,4.5,N/A,https://www.bewakoof.com/p/mens-indigo-blue-washed-straight-fit-cargo-jeans-indigo-12
Men's Blue Baggy Straight Fit Jeans,1499,4.4,2 reviews,https://www.bewakoof.com/p/mens-blue-straight-fit-denim
Men's Blue Baggy Wide Leg Jeans,1499,4.4,5 reviews,https://www.bewakoof.com/p/mens-blue-wide-leg-jeans-mid-blue
Men's Indigo Blue Baggy Washed Cargo Jeans,1499,4.5,N/A,https://www.bewakoof.com/p/mens-indigo-blue-washed-jeans-indigo-15
Men's Light Indigo Mid-Rise Stretchable Jeans,999,1,N/A,https://www.bewakoof.com/p/mens-light-indigo-jeans-blue
Men's Blue Baggy Straight Fit Washed Cargo Jeans,1799,4.4,2 reviews,https://www.bewakoof.com/p/mens-blue-straight-fit-jeans-mid-blue
Men's Grey Washed Jeans,1499,N/A,N/A,https://www.bewakoof.com/p/mens-grey-washed-jeans-grey-men
Men's Olive Baggy Straight Fit Carpenter Jeans,1699,4.5,5 reviews,https://www.bewakoof.com/p/mens-green-straight-fit-cargo-denim
