Product Number,Company,Details,Price,Rating,Number of Ratings & Reviews,Link
1,PUMA,Hustle V2 IDP Casuals For Men,"₹2,050",4.1,"1,73,083 ratings and 13,793 reviews",https://www.flipkart.com/puma-hustle-v2-idp-casuals-men/p/itm6c935fe19e8ba?pid=SHOG4JEYSCTZ7CF9&lid=LSTSHOG4JEYSCTZ7CF9R6Q8IX&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=ae496d4e-9be2-4ef8-8ce9-70c57b46c647.SHOG4JEYSCTZ7CF9.SEARCH&ppt=None&ppn=None&ssid=h83az8gkvk0000001741790470129&qH=12daa41359850f83
2,PUMA,Zod Runner V3 IDP Casuals For Men,"₹1,007",4.1,"2,92,741 ratings and 24,087 reviews",https://www.flipkart.com/puma-zod-runner-v3-idp-casuals-men/p/itm3012b84405821?pid=SHOFUFGSYPNG8ZJX&lid=LSTSHOFUFGSYPNG8ZJX12FJTU&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=ae496d4e-9be2-4ef8-8ce9-70c57b46c647.SHOFUFGSYPNG8ZJX.SEARCH&ppt=None&ppn=None&ssid=h83az8gkvk0000001741790470129&qH=12daa41359850f83
3,PUMA,Puma Dryflex IDP Running Shoes For Men,"₹1,700",3.9,"8,690 ratings and 828 reviews",https://www.flipkart.com/puma-dryflex-idp-running-shoes-men/p/itmdca516a8754f6?pid=SHOFNU2WBBFAGQNS&lid=LSTSHOFNU2WBBFAGQNSSSWARZ&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=ae496d4e-9be2-4ef8-8ce9-70c57b46c647.SHOFNU2WBBFAGQNS.SEARCH&ppt=None&ppn=None&ssid=h83az8gkvk0000001741790470129&qH=12daa41359850f83
4,PUMA,Puma Rungryp Sneakers For Men,"₹1,007",4.1,"42,556 ratings and 2,789 reviews",https://www.flipkart.com/puma-rungryp-sneakers-men/p/itm7b4744135bc9c?pid=SHOGQAZDZPHFMMAG&lid=LSTSHOGQAZDZPHFMMAGGYJWCX&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=ae496d4e-9be2-4ef8-8ce9-70c57b46c647.SHOGQAZDZPHFMMAG.SEARCH&ppt=None&ppn=None&ssid=h83az8gkvk0000001741790470129&qH=12daa41359850f83
5,PUMA,Dwane IDP Casuals For Men,"₹1,650",4.2,"1,10,177 ratings and 11,365 reviews",https://www.flipkart.com/puma-dwane-idp-casuals-men/p/itmfhusefmarjjgz?pid=SHOFHURJZKZG5DAF&lid=LSTSHOFHURJZKZG5DAF8ZMHZL&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=ae496d4e-9be2-4ef8-8ce9-70c57b46c647.SHOFHURJZKZG5DAF.SEARCH&ppt=None&ppn=None&ssid=h83az8gkvk0000001741790470129&qH=12daa41359850f83
6,PUMA,Puma Alfarun Hyperwave Sneakers For Men,"₹1,485",4.1,"2,507 ratings and 162 reviews",https://www.flipkart.com/puma-alfarun-hyperwave-sneakers-men/p/itma0cc33b0b33cc?pid=SHOGVCWKUWUYXBZB&lid=LSTSHOGVCWKUWUYXBZBP8WEZT&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=ae496d4e-9be2-4ef8-8ce9-70c57b46c647.SHOGVCWKUWUYXBZB.SEARCH&ppt=None&ppn=None&ssid=h83az8gkvk0000001741790470129&qH=12daa41359850f83
7,PUMA,Dwane IDP Casuals For Men,"₹1,007",4.2,"1,10,177 ratings and 11,365 reviews",https://www.flipkart.com/puma-dwane-idp-casuals-men/p/itmfhusedzvdjwhe?pid=SHOFHURGMTVQ7CVW&lid=LSTSHOFHURGMTVQ7CVWJ1CUUD&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=ae496d4e-9be2-4ef8-8ce9-70c57b46c647.SHOFHURGMTVQ7CVW.SEARCH&ppt=None&ppn=None&ssid=h83az8gkvk0000001741790470129&qH=12daa41359850f83
8,PUMA,Fire run Running Shoes For Men,"₹2,255",4,"12,577 ratings and 902 reviews",https://www.flipkart.com/puma-fire-run-running-shoes-men/p/itmb8344ec58d9b3?pid=SHOG8VF7JGXBXDXD&lid=LSTSHOG8VF7JGXBXDXD5AJWCL&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=ae496d4e-9be2-4ef8-8ce9-70c57b46c647.SHOG8VF7JGXBXDXD.SEARCH&ppt=None&ppn=None&ssid=h83az8gkvk0000001741790470129&qH=12daa41359850f83
9,PUMA,Propelix Sneakers For Men,"₹1,007",4.1,"1,113 ratings and 86 reviews",https://www.flipkart.com/puma-propelix-sneakers-men/p/itm0bbc5a2266fb4?pid=SHOHFYRG3SHDYNTK&lid=LSTSHOHFYRG3SHDYNTKOPKI2Q&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=7ef0dbde-b977-4b72-b00f-4b1ebc35e020.SHOHFYRG3SHDYNTK.SEARCH&ppt=None&ppn=None&ssid=7uxj2xygww0000001741790474792&qH=12daa41359850f83
10,PUMA,Vis2K Casuals For Men,"₹3,440",4.3,300 ratings and 25 reviews,https://www.flipkart.com/puma-vis2k-casuals-men/p/itm858af984afbf9?pid=SHOHFYR4H4VDDRZZ&lid=LSTSHOHFYR4H4VDDRZZIE1STM&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=7ef0dbde-b977-4b72-b00f-4b1ebc35e020.SHOHFYR4H4VDDRZZ.SEARCH&ppt=None&ppn=None&ssid=7uxj2xygww0000001741790474792&qH=12daa41359850f83
