Product Number,Company,Details,Price,Rating,Number of Ratings & Reviews,Link
1,ADIDAS,GlideEase M Running Shoes For Men,"₹1,514",4.1,"46,212 ratings and 3,421 reviews",https://www.flipkart.com/adidas-glideease-m-running-shoes-men/p/itmc8340026ad1b5?pid=SHOGFFYSJCVPUCZC&lid=LSTSHOGFFYSJCVPUCZCVKLB6Z&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_jxTnclizCMyYELvULhzTMS_DB8AYu4RT1dgJG9FikeFqAdCrmDcXc5u_wR1s8NKw2XD_bwTtSXIUPfYA8rR5wQ%3D%3D&ppt=None&ppn=None&ssid=pkd9z1ovao0000001741796485736&qH=b0a8b6f820479900
2,Airson,Junior Zero1 Sports shoes for Men | Gym Training Walking Running Shoes For Men Training & Gym Shoes For Men,₹898,4,"15,186 ratings and 859 reviews",https://www.flipkart.com/airson-junior-zero1-sports-shoes-men-gym-training-walking-running/p/itm8a937516b3153?pid=SHOGMYDN9ZF3J8DH&lid=LSTSHOGMYDN9ZF3J8DHMTSSOB&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=en_jxTnclizCMyYELvULhzTMS_DB8AYu4RT1dgJG9FikeH4hka2qpGCq-kOjVpg-ij1mMfzBkFpE6dZVm9U23tpYA%3D%3D&ppt=None&ppn=None&ssid=pkd9z1ovao0000001741796485736&qH=b0a8b6f820479900
3,TrendWalk,Sneakers For Men (White) Sneakers For Men,₹589,3.5,70 ratings and 2 reviews,https://www.flipkart.com/trendwalk-sneakers-men-white/p/itmfdb0b51b078ed?pid=SHOGMRXUTTKHHGYH&lid=LSTSHOGMRXUTTKHHGYH1RN6H1&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=b935eea7-21a6-46f5-ab44-42c1fb24ea3b.SHOGMRXUTTKHHGYH.SEARCH&ppt=None&ppn=None&ssid=pkd9z1ovao0000001741796485736&qH=b0a8b6f820479900
4,asian,Casual Sneakers Shoes For Men Mexico-11 Sneakers For Men,₹949,3.8,"16,705 ratings and 1,089 reviews",https://www.flipkart.com/asian-casual-sneakers-shoes-men-mexico-11/p/itm48fd7b9625d61?pid=SHOH35FJXBGPGNTM&lid=LSTSHOH35FJXBGPGNTMRMZ2I7&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=b935eea7-21a6-46f5-ab44-42c1fb24ea3b.SHOH35FJXBGPGNTM.SEARCH&ppt=None&ppn=None&ssid=pkd9z1ovao0000001741796485736&qH=b0a8b6f820479900
5,REEBOK,KL8044 Lightweight Comfort Summer Trendy Premium Stylish Loafers For Men,"₹1,025",3.7,"5,467 ratings and 264 reviews",https://www.flipkart.com/killer-kl8044-lightweight-comfort-summer-trendy-premium-stylish-loafers-men/p/itm015f72ed4c7eb?pid=SHOGFDGYCNXSD5RW&lid=LSTSHOGFDGYCNXSD5RWMLRSL9&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_jxTnclizCMyYELvULhzTMS_DB8AYu4RT1dgJG9FikeGqnvzaUx5DeeOYkUh2XGKDCjUqS8_wMZldUW3ueNFA3A%3D%3D&ppt=None&ppn=None&ssid=pkd9z1ovao0000001741796485736&qH=b0a8b6f820479900
6,KILLER,Sports Running Shoes for Men Soft Cushioned Insole Slip-Resistance Shoes Running Shoes For Men,₹734,3.7,"1,548 ratings and 85 reviews",https://www.flipkart.com/killer-sports-running-shoes-men-soft-cushioned-insole-slip-resistance/p/itm1765aa0eac0d0?pid=SHOH37K323D6GZRU&lid=LSTSHOH37K323D6GZRUBGIQ26&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=b935eea7-21a6-46f5-ab44-42c1fb24ea3b.SHOH37K323D6GZRU.SEARCH&ppt=None&ppn=None&ssid=pkd9z1ovao0000001741796485736&qH=b0a8b6f820479900
7,asian,RACER TR23 Casuals For Men,₹684,4.1,"1,228 ratings and 93 reviews",https://www.flipkart.com/adidas-racer-tr23-casuals-men/p/itme8fbf71eb9ac7?pid=SHOGZT5YW3SACJFY&lid=LSTSHOGZT5YW3SACJFY3RUAEB&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=en_jxTnclizCMyYELvULhzTMS_DB8AYu4RT1dgJG9FikeG-VqBdoOiZozemgcRiB8RFHaJl67uICxw25U_Tv7tGFuo15S0a61Wzzbg3qNOknKY%3D&ppt=None&ppn=None&ssid=pkd9z1ovao0000001741796485736&qH=b0a8b6f820479900
8,RED TAPE,SM 171 Running Shoes For Men,"₹1,295",4.2,"13,733 ratings and 1,697 reviews",https://www.flipkart.com/sparx-sm-171-running-shoes-men/p/itm0c1f8896ae3fd?pid=SHOEPP78ZDNNAHJR&lid=LSTSHOEPP78ZDNNAHJRNHUBNB&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=b935eea7-21a6-46f5-ab44-42c1fb24ea3b.SHOEPP78ZDNNAHJR.SEARCH&ppt=None&ppn=None&ssid=pkd9z1ovao0000001741796485736&qH=b0a8b6f820479900
9,ADIDAS,GlideEase M Running Shoes For Men,"₹1,514",4.1,"46,212 ratings and 3,421 reviews",https://www.flipkart.com/adidas-glideease-m-running-shoes-men/p/itmc8340026ad1b5?pid=SHOGFFYSJCVPUCZC&lid=LSTSHOGFFYSJCVPUCZCVKLB6Z&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=en_mXKJK72HfqPxMW4EU7tu_4YUOi1ZI2PsAEi-ECynCX26cYfZuyr6-PNgiLSneoMp2XD_bwTtSXIUPfYA8rR5wQ%3D%3D&ppt=None&ppn=None&ssid=ail59qx0jk0000001741796490512&qH=b0a8b6f820479900
10,U.S. POLO ASSN.,GAIMAN 2.O Sneakers For Men,"₹1,049",4.1,"4,204 ratings and 335 reviews",https://www.flipkart.com/u-s-polo-assn-gaiman-2-o-sneakers-men/p/itm182e2363cd75d?pid=SHOG4Q5HGVEPCEJM&lid=LSTSHOG4Q5HGVEPCEJMSSICK1&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=3087ec9b-608a-4de4-b1ba-f3bd33056077.SHOG4Q5HGVEPCEJM.SEARCH&ppt=None&ppn=None&ssid=ail59qx0jk0000001741796490512&qH=b0a8b6f820479900
